Sample,Mutation,Compression,n_Nodes,n_Edges,Total_Length,n_Mitochondria,Ave_Edge_Length,Median_Edge_Length,Ave_Width_um,Std_Width_um,ThreeWayJunc,FourWayJunc,MitoGraphCS
Cancer_2W_023_031,Cancer,2W,549,477,584.41457,123,1.225187778,1.5141,0.27165,0.05743,25,5,391.3007426
Cancer_2W_024_032,Cancer,2W,1439,1205,1242.651,341,1.031245643,1.21889,0.25416,0.06507,70,9,815.159217
Cancer_2W_024_033,Cancer,2W,612,432,449.99523,204,1.041655625,0.72841,0.26832,0.06947,11,5,270.1081105
Cancer_2W_025_034,Cancer,2W,707,588,663.98394,164,1.129224388,1.622805,0.26491,0.0653,22,4,435.6248105
Cancer_2W_026_035,Cancer,2W,758,581,624.76633,234,1.075329312,1.17895,0.26183,0.06572,17,4,386.5124443
Cancer_2W_026_036,Cancer,2W,545,494,460.09645,109,0.931369332,0.92645,0.2563,0.06518,31,8,314.2715042
Cancer_2W_027_037,Cancer,2W,731,595,595.73608,183,1.001237109,0.78232,0.2582,0.06899,20,4,383.787591
Cancer_2W_027_038,Cancer,2W,613,472,478.4836,175,1.013736441,0.89055,0.2623,0.06606,25,4,302.3207921
Cancer_2W_028_039,Cancer,2W,1064,965,1119.82457,181,1.160439969,1.25525,0.25809,0.06022,51,10,766.829827
Cancer_2W_029_040,Cancer,2W,1070,855,908.85499,287,1.062988292,1.19217,0.26456,0.0662,24,4,576.5011388
Cancer_2W_030_041,Cancer,2W,478,371,448.70177,141,1.209438733,1.49181,0.26704,0.06238,10,1,278.8825791
Cancer_aga_001_042,Cancer,Agarose,1217,1119,1233.53935,227,1.102358668,1.12042,0.2496,0.06462,70,16,840.9666651
Cancer_aga_002_043,Cancer,Agarose,756,603,692.84562,192,1.148997711,1.296155,0.26334,0.06884,20,6,445.9159654
Cancer_aga_002_044,Cancer,Agarose,462,346,441.68108,140,1.276534913,1.34685,0.27569,0.06773,6,1,270.8486478
Cancer_aga_003_045,Cancer,Agarose,1132,940,1032.85241,267,1.09877916,1.13494,0.25605,0.06609,51,9,674.835722
